path,label_idx,split,label
/content/data/unified/Tomato__Tomato_YellowLeaf__Curl_Virus/5b1b29b2-c660-4929-a442-b263df503d48___YLCV_NREC 2278_5510789255891238118.jpg,12,train,Tomato__Tomato_YellowLeaf__Curl_Virus
/content/data/unified/Tomato_Bacterial_spot/5e802218-06bd-4542-b310-ca99753a5a83___GCREC_Bact.Sp 5933_300829342422961012.jpg,5,train,Tomato_Bacterial_spot
/content/data/unified/Tomato_healthy/4ff86e18-434e-4d1d-819c-c40c908e064a___RS_HL 0273_6233155804068437284.jpg,14,train,Tomato_healthy
/content/data/unified/Tomato_healthy/28e62e2d-8aba-48df-9eff-3d70a5b7775d___RS_HL 9870_5164575373425689213.jpg,14,train,Tomato_healthy
/content/data/unified/Tomato_Late_blight/ad90bf43-648e-479e-8256-5e4d628cfa36___RS_Late.B 7134_2054865627275539332.jpg,7,train,Tomato_Late_blight
/content/data/unified/Tomato_Spider_mites_Two_spotted_spider_mite/b6021a77-4136-43e0-a890-f3a5fa0bba42___Com.G_SpM_FL 1607_708003277230050122.jpg,10,train,Tomato_Spider_mites_Two_spotted_spider_mite
/content/data/unified/Tomato__Tomato_YellowLeaf__Curl_Virus/01ab67dd-f4cf-4141-87fc-24056902abf4___YLCV_GCREC 5148_4910460325925387646.jpg,12,train,Tomato__Tomato_YellowLeaf__Curl_Virus
/content/data/unified/Tomato__Tomato_YellowLeaf__Curl_Virus/30e776ef-d0e8-4ca0-bd28-767553054db9___YLCV_GCREC 1985_2516124718554841192.jpg,12,train,Tomato__Tomato_YellowLeaf__Curl_Virus
/content/data/unified/Tomato_Late_blight/3de17184-cbec-4397-813e-1bbc3bc5cb6a___RS_Late.B 7050_5027335829136073193.jpg,7,train,Tomato_Late_blight
/content/data/unified/Tomato_healthy/9022a9e2-3161-4d34-9c83-e3e72d8154a1___RS_HL 0233_2049586231219800794.jpg,14,train,Tomato_healthy
/content/data/unified/Tomato_Spider_mites_Two_spotted_spider_mite/c185d063-6518-4314-82e2-fa154e70c886___Com.G_SpM_FL 1347_8329905838213183627.jpg,10,train,Tomato_Spider_mites_Two_spotted_spider_mite
/content/data/unified/Tomato_Late_blight/b4c4e221-ab02-4e57-a82c-5f2dfd431675___RS_Late.B 5029_2877201674232311452.jpg,7,train,Tomato_Late_blight
/content/data/unified/Tomato_Early_blight/5a62e38f-8042-4ca8-8df6-2bdeed7e9a7b___RS_Erly.B 9493_3736388663984591200.jpg,6,train,Tomato_Early_blight
/content/data/unified/Tomato_healthy/af83b40a-8cac-4467-a44b-1a129b25e4fc___GH_HL Leaf 362.1_5750046169899459575.jpg,14,train,Tomato_healthy
/content/data/unified/Tomato_Septoria_leaf_spot/041684a2-1a2c-430f-ab09-b17293f015bc___JR_Sept.L.S 8400_8950597016427270549.jpg,9,train,Tomato_Septoria_leaf_spot
/content/data/unified/Tomato__Target_Spot/a6630e8e-c6df-499c-b8ff-ee077812f9f4___Com.G_TgS_FL 9915_6003167279703893412.jpg,11,train,Tomato__Target_Spot
